1-93,2-11
26-94,26-94
72-92,48-88
36-37,37-52
2-98,1-98
1-83,1-84
74-79,76-76
66-85,66-86
6-73,6-73
31-57,30-58
1-98,1-98
28-47,55-97
29-71,70-72
40-53,40-53
14-71,39-71
19-98,18-94
94-96,81-95
79-98,79-97
52-66,60-61
2-3,8-89
53-59,59-83
79-81,3-80
14-84,84-92
90-90,7-89
10-76,11-76
9-31,10-12
8-8,8-72
2-97,1-96
3-33,2-94
3-5,4-99
46-94,8-94
97-98,14-92
60-98,81-99
11-98,11-97
27-82,26-81
21-61,12-18
26-55,26-56
89-96,97-97
29-30,29-31
66-90,40-87
7-49,8-88
37-61,39-58
8-65,9-96
7-72,2-51
14-73,15-56
7-11,16-24
12-83,13-85
72-91,7-71
78-82,56-77
1-46,15-46
1-76,1-75
75-98,5-98
37-41,22-41
1-1,2-98
76-94,77-93
88-88,4-89
86-87,38-90
85-89,46-86
64-99,1-99
16-48,32-96
6-95,6-95
44-68,43-49
19-78,19-79
35-95,7-34
72-72,32-71
21-26,24-26
20-57,21-58
17-98,17-98
22-97,21-98
62-92,92-99
1-74,1-75
9-75,10-74
5-7,4-8
37-41,4-81
3-96,4-99
92-98,94-96
69-89,75-88
13-29,14-18
35-48,42-49
10-11,11-95
17-33,32-32
16-80,61-77
38-41,40-42
6-79,6-80
51-95,50-52
18-94,19-33
95-99,15-96
18-37,19-47
25-33,24-31
9-9,10-98
5-72,6-72
6-6,7-95
39-96,38-84
79-95,57-78
61-67,61-61
44-95,9-94
69-93,16-68
24-24,23-95
56-90,49-57
13-82,13-13
5-94,4-94
46-61,44-46
3-37,7-84
3-73,3-72
2-2,3-95
12-94,24-94
37-58,37-57
79-95,7-78
10-77,76-76
4-98,5-97
64-99,27-99
68-68,69-69
18-28,18-29
58-95,9-95
4-93,5-94
9-84,85-85
50-89,51-90
38-97,2-39
22-70,78-90
62-68,67-67
36-44,36-44
59-59,36-58
97-97,1-97
14-15,15-94
90-90,3-62
2-4,3-80
29-97,81-97
8-35,34-54
14-57,14-60
42-78,10-56
32-99,31-98
31-87,86-87
44-57,44-57
1-92,92-92
8-69,5-83
33-47,34-59
94-98,11-98
60-66,67-76
20-21,21-81
18-76,17-76
24-61,24-62
48-48,1-49
28-84,85-91
4-51,4-50
30-32,31-69
38-70,39-39
28-92,37-79
22-65,22-68
29-56,9-46
11-97,2-99
4-98,31-94
29-92,29-93
93-97,32-92
24-27,25-48
54-55,6-77
10-81,82-96
27-94,28-89
32-81,47-81
64-83,65-97
41-49,50-79
99-99,14-94
66-78,66-77
16-95,17-95
98-98,3-97
2-6,6-53
26-26,12-25
2-54,3-86
59-95,94-95
40-62,2-40
9-90,9-91
3-53,2-52
91-93,88-92
63-98,64-99
32-68,68-84
34-77,74-80
2-83,1-2
32-79,60-73
96-98,3-96
28-74,29-87
8-96,29-96
50-64,50-65
26-72,15-73
63-80,44-86
10-87,11-86
5-94,36-94
5-93,6-92
3-92,4-93
83-83,14-83
9-9,9-40
88-96,12-89
31-56,34-42
83-96,28-84
5-6,6-36
31-96,30-96
26-82,41-82
95-95,18-96
32-71,31-71
55-69,56-85
1-87,2-98
15-92,9-91
1-76,1-76
3-45,3-27
53-59,52-58
1-97,5-96
2-78,4-78
65-84,84-89
74-80,79-79
36-90,37-66
3-66,54-74
35-79,35-80
76-76,75-75
66-77,65-78
3-91,3-90
25-45,26-62
35-35,36-82
28-73,29-72
36-96,37-64
46-85,85-87
70-99,2-99
27-65,36-39
8-70,70-84
39-47,38-50
66-89,23-66
2-93,5-92
1-70,92-92
12-95,15-95
44-85,45-84
17-54,17-72
20-23,19-31
27-37,14-33
16-96,82-96
8-61,7-62
11-91,73-96
3-93,40-81
30-30,29-90
7-38,38-44
70-82,12-93
53-57,54-58
37-66,66-99
94-96,11-95
11-97,11-96
39-56,40-55
27-74,1-96
43-48,3-98
62-79,63-79
16-22,24-25
1-96,2-99
58-83,57-83
43-76,42-67
41-46,8-46
2-52,2-55
50-80,28-51
9-34,9-9
47-48,46-46
47-85,85-99
29-44,29-45
20-89,19-88
51-58,60-75
57-58,57-57
39-90,38-89
18-77,20-76
55-76,54-62
26-83,25-82
2-87,2-86
1-83,2-94
7-88,88-89
6-33,7-99
17-18,10-13
40-99,40-99
14-66,31-95
46-98,46-98
50-76,73-76
39-45,2-80
19-76,18-23
19-92,98-98
95-95,1-94
1-86,87-88
44-86,45-87
4-99,4-87
15-30,14-16
11-66,13-76
1-84,14-55
2-72,2-87
34-83,77-83
13-90,30-33
55-77,49-54
18-25,7-16
46-46,47-91
14-86,14-58
14-75,79-99
13-45,14-46
6-26,7-81
24-99,35-48
3-95,94-99
71-81,20-71
30-30,31-82
15-15,14-41
81-92,82-87
3-49,48-67
2-89,2-90
18-92,19-92
9-76,8-70
40-47,41-64
53-81,81-88
44-86,44-44
4-90,98-98
8-94,95-95
31-31,32-78
31-82,30-83
59-59,40-60
48-69,48-68
9-28,28-51
23-90,23-91
25-36,57-93
31-88,30-32
6-99,4-15
9-68,28-69
2-99,3-99
3-31,30-32
4-99,4-98
17-74,11-18
